"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get courses","LMS service","Tue Aug 05 21:13:30 GMT 2025","passed","Tue Aug 05 21:13:30 GMT 2025","Get entities","Courses","",""
"","294","Delete file","LMS service","Tue Aug 05 21:13:36 GMT 2025","passed","Tue Aug 05 21:13:37 GMT 2025","Delete entity","Files","",""
"","32","Create course","LMS service","Tue Aug 05 21:13:30 GMT 2025","passed","Tue Aug 05 21:13:30 GMT 2025","Create entity","Courses","",""
"","16","Get file","LMS service","Tue Aug 05 21:13:35 GMT 2025","passed","Tue Aug 05 21:13:35 GMT 2025","Get entity","Files","",""
"","557","Login with correct email and password","LMS service","Tue Aug 05 21:13:29 GMT 2025","passed","Tue Aug 05 21:13:29 GMT 2025","Login","Authentication","",""
"","262","Create file with empty filename","LMS service","Tue Aug 05 21:13:35 GMT 2025","passed","Tue Aug 05 21:13:35 GMT 2025","Validate entity","Files","",""
"","262","Get file with incorrect file id","LMS service","Tue Aug 05 21:13:37 GMT 2025","passed","Tue Aug 05 21:13:37 GMT 2025","Validate entity","Files","",""
"","264","Create file with empty directory","LMS service","Tue Aug 05 21:13:36 GMT 2025","passed","Tue Aug 05 21:13:36 GMT 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Tue Aug 05 21:13:33 GMT 2025","passed","Tue Aug 05 21:13:33 GMT 2025","Delete entity","Exercises","",""
"","28","Get exercise","LMS service","Tue Aug 05 21:13:33 GMT 2025","passed","Tue Aug 05 21:13:33 GMT 2025","Get entity","Exercises","",""
"","553","Create user","LMS service","Tue Aug 05 21:13:37 GMT 2025","passed","Tue Aug 05 21:13:37 GMT 2025","Create entity","Users","",""
"","20","Get exercises","LMS service","Tue Aug 05 21:13:34 GMT 2025","passed","Tue Aug 05 21:13:34 GMT 2025","Get entities","Exercises","",""
"","26","Create exercise","LMS service","Tue Aug 05 21:13:31 GMT 2025","passed","Tue Aug 05 21:13:31 GMT 2025","Create entity","Exercises","",""
"","13","Get user me","LMS service","Tue Aug 05 21:13:38 GMT 2025","passed","Tue Aug 05 21:13:38 GMT 2025","Get entity","Users","",""
"","21","Update exercise","LMS service","Tue Aug 05 21:13:32 GMT 2025","passed","Tue Aug 05 21:13:32 GMT 2025","Update entity","Exercises","",""
"","291","Create user","LMS service","Tue Aug 05 21:13:37 GMT 2025","passed","Tue Aug 05 21:13:37 GMT 2025","Create entity","Users","",""
"","23","Create file","LMS service","Tue Aug 05 21:13:34 GMT 2025","passed","Tue Aug 05 21:13:34 GMT 2025","Create entity","Files","",""
"","561","Create user","LMS service","Tue Aug 05 21:13:37 GMT 2025","passed","Tue Aug 05 21:13:38 GMT 2025","Create entity","Users","",""
"","41","Update course","LMS service","Tue Aug 05 21:13:29 GMT 2025","passed","Tue Aug 05 21:13:29 GMT 2025","Update entity","Courses","",""
